night_date,n_hours,err,actual,wb,cum_cold_h,season,month,doy,dow,holiday,below,dist,campaign_start,campaign_night2
2015-11-01,11,40.790909090909075,6235.481818181818,-0.19017852274723904,31.0,2015,11,305,6,0,0,1.809821477252761,0,0
2015-11-02,11,130.32727272727277,6906.5,1.0813886740266416,31.0,2015,11,306,0,0,0,3.0813886740266416,0,0
2015-11-03,11,-84.36363636363645,6799.972727272727,3.2327814644081627,31.0,2015,11,307,1,0,0,5.232781464408163,0,0
2015-11-04,11,-185.7272727272728,6633.072727272727,2.243724918340578,31.0,2015,11,308,2,0,0,4.243724918340578,0,0
2015-11-05,11,-728.6545454545454,6678.427272727273,2.908774359642702,31.0,2015,11,309,3,0,0,4.9087743596427025,0,0
2015-11-06,11,-619.3636363636363,6440.518181818182,3.286311958767529,31.0,2015,11,310,4,0,0,5.286311958767529,0,0
2015-11-07,11,-760.3545454545456,5962.545454545455,4.297840355735026,31.0,2015,11,311,5,0,0,6.297840355735026,0,0
2015-11-08,11,-1339.8272727272727,6015.290909090909,4.371975919661511,31.0,2015,11,312,6,0,0,6.371975919661511,0,0
2015-11-09,11,-1642.0727272727274,6480.927272727273,3.556791764568148,31.0,2015,11,313,0,0,0,5.556791764568148,0,0
2015-11-10,11,-1651.2818181818182,6571.809090909091,2.7989898971276017,31.0,2015,11,314,1,0,0,4.798989897127601,0,0
2015-11-11,11,-1552.1636363636362,6698.4,1.3541098917191716,31.0,2015,11,315,2,0,0,3.3541098917191716,0,0
2015-11-12,11,-639.9090909090909,6757.572727272727,1.6295767874234763,31.0,2015,11,316,3,0,0,3.6295767874234763,0,0
2015-11-13,11,-63.25454545454539,6592.881818181818,1.8775088676391574,31.0,2015,11,317,4,0,0,3.8775088676391576,0,0
2015-11-14,11,23.43636363636357,6063.827272727273,1.8516336133354256,31.0,2015,11,318,5,0,0,3.8516336133354256,0,0
2015-11-15,11,127.53636363636384,6224.1,3.294564375876313,31.0,2015,11,319,6,0,0,5.294564375876313,0,0
2015-11-16,11,145.53636363636352,6724.245454545454,1.0096861175496041,31.0,2015,11,320,0,0,0,3.009686117549604,0,0
2015-11-17,11,-153.5181818181819,6540.563636363636,4.255859147856492,31.0,2015,11,321,1,0,0,6.255859147856492,0,0
2015-11-18,11,122.16363636363639,6733.336363636364,0.3492334556390135,31.0,2015,11,322,2,0,0,2.3492334556390135,0,0
2015-11-19,11,-107.27272727272735,6637.854545454545,4.240962028840794,31.0,2015,11,323,3,0,0,6.240962028840794,0,0
2015-11-20,11,225.41818181818186,7066.618181818182,0.642798554546737,31.0,2015,11,324,4,0,0,2.642798554546737,0,0
2015-11-21,11,388.76363636363635,7080.345454545455,-6.957211399934153,44.0,2015,11,325,5,0,1,-4.957211399934153,1,0
2015-11-22,11,297.7454545454546,7031.381818181818,-9.166104690184602,68.0,2015,11,326,6,0,1,-7.166104690184602,0,1
2015-11-23,11,484.36363636363626,7665.463636363637,-11.758379459501533,92.0,2015,11,327,0,0,1,-9.758379459501533,0,0
2015-11-24,11,561.5090909090909,7610.363636363636,-5.034745110122591,116.0,2015,11,328,1,0,1,-3.034745110122591,0,0
2015-11-25,11,654.1636363636364,7738.718181818182,-4.974560105755026,140.0,2015,11,329,2,0,1,-2.9745601057550264,0,0
2015-11-26,11,412.40909090909076,7761.027272727273,-7.447130404415919,164.0,2015,11,330,3,0,1,-5.447130404415919,0,0
2015-11-27,11,354.62727272727267,7716.281818181818,-8.929459744800422,188.0,2015,11,331,4,0,1,-6.929459744800422,0,0
2015-11-28,11,343.20000000000005,7172.827272727273,-5.870138280427801,212.0,2015,11,332,5,0,1,-3.870138280427801,0,0
2015-11-29,11,538.8727272727272,6941.227272727273,-0.9672551665224846,228.0,2015,11,333,6,0,0,1.0327448334775156,0,0
2015-11-30,11,152.2454545454546,7316.481818181818,-1.950961731855594,229.0,2015,11,334,0,0,0,0.04903826814440593,0,0
2015-12-01,11,43.36363636363653,7245.581818181819,-0.5797573739915495,235.0,2015,12,335,1,0,0,1.4202426260084504,0,0
2015-12-02,11,548.8454545454546,7578.981818181818,-2.3764315646993768,235.0,2015,12,336,2,0,1,-0.3764315646993768,1,0
2015-12-03,11,327.24545454545455,7565.6,-2.2449926818896317,247.0,2015,12,337,3,0,1,-0.24499268188963175,0,1
2015-12-04,11,-42.62727272727261,7285.281818181818,-0.31229533249526803,258.0,2015,12,338,4,0,0,1.687704667504732,0,0
2015-12-05,11,55.60909090909081,6891.345454545455,-0.6492148398663461,258.0,2015,12,339,5,0,0,1.350785160133654,0,0
2015-12-06,11,-48.08181818181831,6987.272727272727,-1.1402246493812287,258.0,2015,12,340,6,0,0,0.8597753506187713,0,0
2015-12-07,11,132.56363636363633,7618.090909090909,-1.067556185269891,258.0,2015,12,341,0,0,0,0.9324438147301091,0,0
2015-12-08,11,385.6818181818181,7528.763636363636,-1.0013647298260497,258.0,2015,12,342,1,0,0,0.9986352701739503,0,0
2015-12-09,11,673.1454545454545,7692.472727272727,-4.897754586287376,258.0,2015,12,343,2,0,1,-2.897754586287376,1,0
2015-12-10,11,776.5727272727273,7969.654545454545,-4.240026979923602,282.0,2015,12,344,3,0,1,-2.240026979923602,0,1
2015-12-11,11,391.1545454545454,7745.718181818182,-4.607029678282275,304.0,2015,12,345,4,0,1,-2.6070296782822746,0,0
2015-12-12,11,147.40000000000006,7283.909090909091,-4.193771263798403,325.0,2015,12,346,5,0,1,-2.1937712637984026,0,0
2015-12-13,11,278.8818181818182,7505.581818181818,-4.398291501361252,349.0,2015,12,347,6,0,1,-2.3982915013612516,0,0
2015-12-14,11,508.3181818181818,7910.645454545455,-3.4866800970880765,368.0,2015,12,348,0,0,1,-1.4866800970880765,0,0
2015-12-15,11,510.7090909090905,7563.263636363636,0.11002501574020608,383.0,2015,12,349,1,0,0,2.1100250157402063,0,0
2015-12-16,11,598.7818181818179,7556.3272727272715,1.9710435187811073,383.0,2015,12,350,2,0,0,3.9710435187811073,0,0
2015-12-17,11,159.8454545454544,7421.754545454546,-0.1001947378086319,383.0,2015,12,351,3,0,0,1.8998052621913681,0,0
2015-12-18,11,-149.49999999999991,7139.072727272727,1.5601361447258177,383.0,2015,12,352,4,0,0,3.560136144725818,0,0
2015-12-19,11,13.472727272727338,6950.327272727273,1.0731862860108106,383.0,2015,12,353,5,0,0,3.0731862860108103,0,0
2015-12-20,11,-142.92727272727296,6900.209090909091,0.9762749860582015,383.0,2015,12,354,6,0,0,2.9762749860582014,0,0
2015-12-21,11,-238.77272727272728,7230.381818181818,-0.784086766891837,383.0,2015,12,355,0,1,0,1.215913233108163,0,0
2015-12-22,11,260.92727272727257,7285.436363636364,-0.3944953952855371,383.0,2015,12,356,1,1,0,1.6055046047144628,0,0
2015-12-23,11,98.0181818181818,7085.554545454546,-1.400214681326338,383.0,2015,12,357,2,1,0,0.5997853186736619,0,0
2015-12-24,11,-542.1272727272727,6687.445454545454,-1.2607817849289678,383.0,2015,12,358,3,1,0,0.7392182150710322,0,0
2015-12-25,11,-693.3000000000001,6572.645454545455,-1.4213765023621276,383.0,2015,12,359,4,1,0,0.5786234976378724,0,0
2015-12-26,11,-267.01818181818163,6655.036363636363,-1.7798566357549015,383.0,2015,12,360,5,1,0,0.2201433642450985,0,0
2015-12-27,11,-442.39999999999986,6630.381818181818,-1.8866458125639831,390.0,2015,12,361,6,1,0,0.11335418743601688,0,0
2015-12-28,11,-233.54545454545462,7216.381818181818,-1.8057140916226522,395.0,2015,12,362,0,1,0,0.19428590837734783,0,0
2015-12-29,11,-134.0909090909091,7202.845454545455,-2.7872618506733535,403.0,2015,12,363,1,1,1,-0.7872618506733535,1,0
2015-12-30,11,26.65454545454544,7065.654545454545,-3.104635645039806,419.0,2015,12,364,2,1,1,-1.104635645039806,0,1
2016-11-01,11,134.6636363636363,6941.527272727273,1.305637712741128,36.0,2016,11,306,1,0,0,3.3056377127411283,0,0
2016-11-02,11,393.581818181818,7250.663636363636,0.6147446015817827,36.0,2016,11,307,2,0,0,2.6147446015817826,0,0
2016-11-03,11,141.40000000000006,7329.045454545455,-1.7116660371427705,36.0,2016,11,308,3,0,0,0.28833396285722945,0,0
2016-11-04,11,420.65454545454554,7000.472727272727,2.2635717763863643,36.0,2016,11,309,4,0,0,4.263571776386364,0,0
2016-11-05,11,662.1636363636367,6892.072727272727,1.4852712672280888,36.0,2016,11,310,5,0,0,3.4852712672280886,0,0
2016-11-06,11,159.2363636363636,6992.345454545455,-4.923435209006746,47.0,2016,11,311,6,0,1,-2.9234352090067457,1,0
2016-11-07,11,260.55454545454546,7845.490909090909,-7.888473783739687,71.0,2016,11,312,0,0,1,-5.888473783739687,0,1
2016-11-08,11,109.45454545454554,7780.881818181818,-7.265709211542795,95.0,2016,11,313,1,0,1,-5.265709211542795,0,0
2016-11-09,11,426.61818181818165,7678.454545454545,-2.638484296652127,119.0,2016,11,314,2,0,1,-0.6384842966521269,0,0
2016-11-10,11,446.63636363636357,7564.827272727273,-1.6914787041843935,133.0,2016,11,315,3,0,0,0.3085212958156065,0,0
2016-11-11,11,-68.78181818181821,7493.218181818182,-4.680046667314209,147.0,2016,11,316,4,0,1,-2.680046667314209,0,0
2016-11-12,11,-35.43636363636365,7283.009090909091,-6.728470803757548,171.0,2016,11,317,5,0,1,-4.728470803757548,0,0
2016-11-13,11,152.63636363636348,7312.154545454545,-2.424238519733002,191.0,2016,11,318,6,0,1,-0.42423851973300186,0,0
2016-11-14,11,-177.2363636363636,7689.972727272727,-5.704785089450832,211.0,2016,11,319,0,0,1,-3.704785089450832,0,0
2016-11-15,11,95.83636363636387,7385.472727272727,0.4748697714472192,227.0,2016,11,320,1,0,0,2.474869771447219,0,0
2016-11-16,11,222.33636363636379,7084.863636363636,2.3194499713085084,227.0,2016,11,321,2,0,0,4.319449971308508,0,0
2016-11-17,11,207.1272727272727,7069.018181818182,1.6239180286391528,227.0,2016,11,322,3,0,0,3.623918028639153,0,0
2016-11-18,11,520.0181818181819,7115.390909090909,1.415735594172376,227.0,2016,11,323,4,0,0,3.415735594172376,0,0
2016-11-19,11,463.781818181818,7241.136363636364,-2.7366232320001425,231.0,2016,11,324,5,0,1,-0.7366232320001425,1,0
2016-11-20,11,452.98181818181814,7040.927272727273,1.8463013993700181,239.0,2016,11,325,6,0,0,3.8463013993700184,0,1
2016-11-21,11,212.75454545454548,7405.754545454546,3.5316751946354783,239.0,2016,11,326,0,0,0,5.531675194635478,0,0
2016-11-22,11,372.97272727272707,7200.0,3.9169770663194243,239.0,2016,11,327,1,0,0,5.916977066319424,0,0
2016-11-23,11,333.99090909090916,7424.809090909091,3.3816174704111144,239.0,2016,11,328,2,0,0,5.381617470411115,0,0
2016-11-24,11,808.3272727272729,7512.672727272727,3.1480033799207856,239.0,2016,11,329,3,0,0,5.148003379920786,0,0
2016-11-25,11,626.8363636363638,7263.409090909091,1.732261091809508,239.0,2016,11,330,4,0,0,3.732261091809508,0,0
2016-11-26,11,127.24545454545436,6929.545454545455,0.10693620770850698,239.0,2016,11,331,5,0,0,2.106936207708507,0,0
2016-11-27,11,-207.90909090909108,6894.963636363637,-1.2121074756503616,239.0,2016,11,332,6,0,0,0.7878925243496384,0,0
2016-11-28,11,39.709090909091174,7905.1727272727285,-5.6284584138116855,253.0,2016,11,333,0,0,1,-3.6284584138116855,1,0
2016-11-29,11,131.8999999999998,7978.236363636364,-5.7183856883339255,277.0,2016,11,334,1,0,1,-3.7183856883339255,0,1
2016-11-30,11,-36.77272727272711,8083.336363636364,-4.938692239448262,301.0,2016,11,335,2,0,1,-2.9386922394482617,0,0
2016-12-01,11,-179.7818181818183,7592.054545454546,-2.2847891640383584,318.0,2016,12,336,3,0,1,-0.2847891640383584,0,0
2016-12-02,11,-176.99090909090899,7608.227272727273,-5.047810947207707,336.0,2016,12,337,4,0,1,-3.047810947207707,0,0
2016-12-03,11,-91.23636363636366,7506.7,-5.318525585736212,360.0,2016,12,338,5,0,1,-3.3185255857362117,0,0
2016-12-04,11,18.372727272727307,7693.609090909091,-4.873175587275373,384.0,2016,12,339,6,0,1,-2.873175587275373,0,0
2016-12-05,11,66.28181818181805,7972.509090909091,-3.99275002246451,405.0,2016,12,340,0,0,1,-1.9927500224645098,0,0
2016-12-06,11,-5.900000000000133,8097.136363636364,-5.020402589791828,426.0,2016,12,341,1,0,1,-3.0204025897918276,0,0
2016-12-07,11,-53.445454545454346,7958.1,-3.69105384633791,446.0,2016,12,342,2,0,1,-1.6910538463379101,0,0
2016-12-08,11,-17.82727272727268,7913.927272727273,-2.763609278254464,463.0,2016,12,343,3,0,1,-0.7636092782544641,0,0
2016-12-09,11,-180.98181818181845,7655.227272727273,-1.420487173258975,478.0,2016,12,344,4,0,0,0.579512826741025,0,0
2016-12-10,11,16.909090909090825,7464.872727272727,-1.9066012924617004,478.0,2016,12,345,5,0,0,0.0933987075382996,0,0
2016-12-11,11,-176.74545454545444,7335.718181818182,-3.6592079320300233,491.0,2016,12,346,6,0,1,-1.6592079320300233,1,0
2016-12-12,11,-444.32727272727243,7860.390909090909,-4.787451457513945,511.0,2016,12,347,0,0,1,-2.787451457513945,0,1
2016-12-13,11,-259.38181818181806,7906.709090909091,-3.4671753055493797,532.0,2016,12,348,1,0,1,-1.4671753055493797,0,0
2016-12-14,11,-355.93636363636364,7811.772727272727,-3.934231823034944,552.0,2016,12,349,2,0,1,-1.9342318230349438,0,0
2016-12-15,11,-233.6000000000001,8025.845454545455,-4.150154698444699,572.0,2016,12,350,3,0,1,-2.150154698444699,0,0
2016-12-16,11,-80.33636363636354,8055.772727272727,-4.956169536033704,592.0,2016,12,351,4,0,1,-2.9561695360337037,0,0
2016-12-17,11,85.41818181818168,7757.327272727273,-5.161218581953258,616.0,2016,12,352,5,0,1,-3.161218581953258,0,0
2016-12-18,11,-453.99090909090916,7458.118181818182,-4.269398510948726,640.0,2016,12,353,6,0,1,-2.269398510948726,0,0
2016-12-19,11,-516.2363636363635,7794.290909090909,-3.7842144387399888,664.0,2016,12,354,0,0,1,-1.7842144387399888,0,0
2016-12-20,11,-319.9181818181818,7757.354545454545,-0.7237358898993919,677.0,2016,12,355,1,0,0,1.276264110100608,0,0
2016-12-21,11,-449.2181818181816,7646.690909090909,-1.8364991994024449,677.0,2016,12,356,2,1,0,0.16350080059755512,0,0
2016-12-22,11,-462.8727272727272,7391.963636363637,-2.2811947039894633,685.0,2016,12,357,3,1,1,-0.28119470398946333,1,0
2016-12-23,11,-448.3545454545456,7211.927272727273,-2.550350713420801,698.0,2016,12,358,4,1,1,-0.550350713420801,0,1
2016-12-24,11,-46.05454545454549,6836.927272727273,-0.9334208620023258,710.0,2016,12,359,5,1,0,1.0665791379976741,0,0
2016-12-25,11,69.21818181818179,6754.872727272727,1.817348573944817,710.0,2016,12,360,6,1,0,3.817348573944817,0,0
2016-12-26,11,-319.6727272727272,6752.445454545454,-0.430255818330766,710.0,2016,12,361,0,1,0,1.569744181669234,0,0
2016-12-27,11,-295.1363636363636,7337.890909090909,-5.429216946207078,723.0,2016,12,362,1,1,1,-3.4292169462070783,1,0
2016-12-28,11,193.95454545454538,7741.154545454545,-5.402420970153592,747.0,2016,12,363,2,1,1,-3.4024209701535924,0,1
2016-12-29,11,-350.1818181818181,7379.254545454546,-5.209254159573916,771.0,2016,12,364,3,1,1,-3.2092541595739164,0,0
2016-12-30,11,-56.02727272727258,7438.4,-5.4570961678345205,795.0,2016,12,365,4,1,1,-3.4570961678345205,0,0
2017-11-01,11,477.8727272727272,7442.9,1.0982184869850515,14.0,2017,11,305,2,0,0,3.0982184869850515,0,0
2017-11-02,11,771.3090909090909,7609.063636363636,1.1320231594689818,14.0,2017,11,306,3,0,0,3.132023159468982,0,0
2017-11-03,11,485.7454545454546,7327.472727272727,1.5586840987387844,14.0,2017,11,307,4,0,0,3.5586840987387847,0,0
2017-11-04,11,519.7181818181818,7072.990909090909,3.424773222103555,14.0,2017,11,308,5,0,0,5.424773222103555,0,0
2017-11-05,11,885.0181818181819,7690.390909090909,-3.200279565879323,15.0,2017,11,309,6,0,1,-1.200279565879323,1,0
2017-11-06,11,1036.5545454545454,8221.209090909091,-3.1689063439555265,39.0,2017,11,310,0,0,1,-1.1689063439555265,0,1
2017-11-07,11,590.7818181818183,7802.836363636364,-2.0916624568640763,55.0,2017,11,311,1,0,1,-0.09166245686407626,0,0
2017-11-08,11,629.9818181818181,7942.945454545454,-2.0215613000647106,65.0,2017,11,312,2,0,1,-0.021561300064710576,0,0
