night_date,n_hours,err,err_mw,a_share,f_share,wb,cum_cold_h,season,month,doy,dow,holiday,below,dist,campaign_start,campaign_night2
2019-11-01,11,0.013632546123394656,-13.47081818181819,6.434996182487032,6.421363636363637,-2.934786773006463,0.0,2019,11,305,4,0,1,-0.9347867730064632,0,0
2019-11-02,12,0.02821085095861305,2.5009166666666736,6.37337751762528,6.345166666666667,-1.1176039330364136,12.0,2019,11,306,5,0,0,0.8823960669635864,0,0
2019-11-03,11,0.09693877155654486,-1.0997272727272813,6.402484226101999,6.305545454545455,-1.474973402914091,12.0,2019,11,307,6,0,0,0.5250265970859089,0,0
2019-11-04,11,0.1440039013536083,9.894545454545426,6.443003901353609,6.299,2.820947739838476,14.0,2019,11,308,0,0,0,4.820947739838476,0,0
2019-11-05,11,0.15870902327048106,10.026363636363653,6.452345386906845,6.293636363636364,-0.27424742725605405,14.0,2019,11,309,1,0,0,1.725752572743946,0,0
2019-11-06,11,0.038686660589653095,6.7912727272727125,6.379323024226017,6.340636363636364,-1.5578417292326916,17.0,2019,11,310,2,0,0,0.4421582707673084,0,0
2019-11-07,11,-0.034038354286413976,-14.469999999999997,6.247598009349949,6.2816363636363635,-6.517410882397322,24.0,2019,11,311,3,0,1,-4.517410882397322,1,0
2019-11-08,11,-0.0210707265071569,7.712727272727255,6.323929273492843,6.345,-9.114339794140696,48.0,2019,11,312,4,0,1,-7.114339794140696,0,1
2019-11-09,11,0.0816832743228792,14.88290909090909,6.365137819777424,6.283454545454545,-5.346125476517698,72.0,2019,11,313,5,0,1,-3.346125476517698,0,0
2019-11-10,11,0.014594492308449296,-10.609454545454552,6.303230855944813,6.288636363636363,-1.107077640536594,86.0,2019,11,314,6,0,0,0.8929223594634059,0,0
2019-11-11,11,-0.041069522319031666,-11.99727272727274,6.039657750408241,6.080727272727273,-5.429036100579609,102.0,2019,11,315,0,0,1,-3.4290361005796086,0,0
2019-11-12,11,0.005785972929931579,-1.4858181818181864,6.23987688202084,6.234090909090909,-15.544850956652267,126.0,2019,11,316,1,0,1,-13.544850956652267,0,0
2019-11-13,11,-0.01849358203334434,13.078909090909095,6.270233690693928,6.2887272727272725,-12.769925034814037,150.0,2019,11,317,2,0,1,-10.769925034814037,0,0
2019-11-14,11,0.052805369254487644,14.899999999999988,6.239078096527215,6.186272727272728,-3.7579567005903867,174.0,2019,11,318,3,0,1,-1.7579567005903867,0,0
2019-11-15,11,0.017668941985478123,-7.321818181818199,6.278941669258205,6.261272727272726,-9.768569089079087,191.0,2019,11,319,4,0,1,-7.768569089079087,0,0
