night_date,n_hours,err,err_mw,a_share,f_share,wb,cum_cold_h,season,month,doy,dow,holiday,below,dist,campaign_start,campaign_night2
2019-11-01,11,-0.033038570811056704,-14.241090909090913,4.831415974643488,4.864454545454546,-2.934786773006463,0.0,2019,11,305,4,0,1,-0.9347867730064632,0,0
2019-11-02,12,0.026114777712500665,2.7835833333333206,4.865531444379168,4.839416666666667,-1.1176039330364136,12.0,2019,11,306,5,0,0,0.8823960669635864,0,0
2019-11-03,11,-0.03340531880402872,-11.74636363636364,4.906140135741426,4.9395454545454545,-1.474973402914091,12.0,2019,11,307,6,0,0,0.5250265970859089,0,0
2019-11-04,10,-0.2891860247753672,-33.89569999999999,4.768813975224633,5.058,2.948255802881821,14.0,2019,11,308,0,0,0,4.948255802881821,0,0
2019-11-05,10,-0.2696259136944625,-33.5704,4.8792740863055375,5.1489,-0.48178190195317105,14.0,2019,11,309,1,0,0,1.518218098046829,0,0
2019-11-06,10,-0.14433986213753255,-14.26629999999999,4.847760137862467,4.9921,-1.4144668005155212,18.0,2019,11,310,2,0,0,0.5855331994844788,0,0
2019-11-07,11,0.16445335074325307,9.554363636363643,5.228271532561435,5.063818181818181,-6.517410882397322,24.0,2019,11,311,3,0,1,-4.517410882397322,1,0
2019-11-08,10,0.17529749096056416,28.169500000000006,5.050997490960564,4.8757,-9.240470088197148,49.0,2019,11,312,4,0,1,-7.2404700881971475,0,1
2019-11-09,11,0.07801369154574302,14.209454545454554,4.989922782454834,4.911909090909091,-5.346125476517698,72.0,2019,11,313,5,0,1,-3.346125476517698,0,0
2019-11-10,11,-0.18492483976350282,-29.442727272727268,4.789256978418315,4.974181818181818,-1.107077640536594,86.0,2019,11,314,6,0,0,0.8929223594634059,0,0
2019-11-11,11,-0.14071491246786394,-21.119090909090904,5.153103269350318,5.293818181818182,-5.429036100579609,102.0,2019,11,315,0,0,1,-3.4290361005796086,0,0
2019-11-12,11,0.18641033977740734,22.721545454545467,5.057228521595589,4.870818181818182,-15.544850956652267,126.0,2019,11,316,1,0,1,-13.544850956652267,0,0
2019-11-13,11,0.14087735089568829,32.235363636363644,4.981513714532053,4.840636363636364,-12.769925034814037,150.0,2019,11,317,2,0,1,-10.769925034814037,0,0
2019-11-14,9,0.010973909640598793,7.545111111111093,5.025418354085043,5.014444444444445,-3.5481700828008984,176.0,2019,11,318,3,0,1,-1.5481700828008984,0,0
2019-11-15,11,0.14886837783322207,8.250181818181813,5.164504741469585,5.0156363636363634,-9.768569089079087,191.0,2019,11,319,4,0,1,-7.768569089079087,0,0
2019-11-16,11,0.18486400318466553,31.738272727272726,5.173045821366483,4.988181818181818,-13.335685924039488,215.0,2019,11,320,5,0,1,-11.335685924039488,0,0
2019-11-17,11,-0.12022443003751598,-10.32354545454544,5.007957388144302,5.128181818181818,-4.59027099554364,239.0,2019,11,321,6,0,1,-2.59027099554364,0,0
2019-11-18,11,-0.23660723846873372,-41.62072727272727,4.76302912516763,4.999636363636363,-1.275435903794814,256.0,2019,11,322,0,0,0,0.724564096205186,0,0
2019-11-19,11,-0.13703726510630948,-29.105181818181823,4.864962734893691,5.002,-1.769177290627483,257.0,2019,11,323,1,0,0,0.23082270937251703,0,0
