night_date,n_hours,err,wb,cum_cold_h,season,month,doy,dow,holiday,below,dist,campaign_start,campaign_night2
2019-11-29,11,-428.64413636363645,-5.308047865813657,436.0,2019,11,333,4,0,1,-3.3080478658136574,0,0
2019-11-30,11,-557.3995681818178,-8.323812686578002,460.0,2019,11,334,5,0,1,-6.323812686578002,0,0
2019-12-01,11,-221.9797045454543,-3.4898548570046684,484.0,2019,12,335,6,0,1,-1.4898548570046684,0,0
2019-12-02,11,104.3278181818175,-9.864201040087927,508.0,2019,12,336,0,0,1,-7.864201040087927,0,0
2019-12-03,11,314.4515909090906,-6.528131724579651,532.0,2019,12,337,1,0,1,-4.528131724579651,0,0
2019-12-04,11,244.13040909091004,-4.976648782808598,556.0,2019,12,338,2,0,1,-2.9766487828085983,0,0
2019-12-05,11,140.6911136363633,-5.404088978509415,580.0,2019,12,339,3,0,1,-3.4040889785094146,0,0
2019-12-06,11,-141.99245454545434,-6.0992393082416365,604.0,2019,12,340,4,0,1,-4.0992393082416365,0,0
2019-12-07,11,-299.54320454545433,-5.717321438767573,628.0,2019,12,341,5,0,1,-3.7173214387675726,0,0
2019-12-08,11,-54.52134090909104,-5.705801317611073,652.0,2019,12,342,6,0,1,-3.7058013176110727,0,0
2019-12-09,11,364.2086363636372,-6.615623176992665,676.0,2019,12,343,0,0,1,-4.615623176992665,0,0
2019-12-10,11,162.14120454545463,-9.165723353608865,700.0,2019,12,344,1,0,1,-7.165723353608865,0,0
2019-12-11,11,-203.73577272727198,-7.903330140829843,724.0,2019,12,345,2,0,1,-5.903330140829843,0,0
2019-12-12,11,30.132386363636794,-10.922861940452838,748.0,2019,12,346,3,0,1,-8.922861940452838,0,0
2019-12-13,11,-403.8756136363632,-8.372875042699858,772.0,2019,12,347,4,0,1,-6.372875042699858,0,0
2019-12-14,11,32.15797727272696,-5.115028438580273,796.0,2019,12,348,5,0,1,-3.115028438580273,0,0
2019-12-15,11,-321.5999090909091,-2.815067457591735,820.0,2019,12,349,6,0,1,-0.8150674575917352,0,0
2019-12-16,11,-456.88406818181744,-1.045389436933046,833.0,2019,12,350,0,0,0,0.9546105630669539,0,0
2019-12-17,11,-269.44015909090905,0.43364218071182453,833.0,2019,12,351,1,0,0,2.4336421807118245,0,0
2019-12-18,11,-459.1535909090913,-0.7471865510743118,833.0,2019,12,352,2,0,0,1.2528134489256884,0,0
