night_date,n_hours,err,wb,cum_cold_h,season,month,doy,dow,holiday,below,dist,campaign_start,campaign_night2
2022-11-05,11,-126.1347272727276,-6.645283319843471,38.0,2022,11,309,5,0,1,-4.645283319843471,0,1
2022-11-06,11,-268.8838409090906,-1.4871848633230014,62.0,2022,11,310,6,0,0,0.5128151366769986,0,0
2022-11-07,11,-178.79620454545395,-2.8322864960115144,67.0,2022,11,311,0,0,1,-0.8322864960115144,0,0
2022-11-08,11,144.25827272727292,-1.9448577808257879,82.0,2022,11,312,1,0,0,0.05514221917421214,0,0
2022-11-09,11,-197.36236363636436,0.5107680193054158,89.0,2022,11,313,2,0,0,2.5107680193054156,0,0
2022-11-10,11,-380.59170454545415,-2.016028495436981,89.0,2022,11,314,3,0,1,-0.01602849543698115,1,0
2022-11-11,11,-704.9690681818178,-0.39821783605187044,95.0,2022,11,315,4,0,0,1.6017821639481296,0,1
2022-11-12,11,-324.3310454545454,-1.138309915209348,95.0,2022,11,316,5,0,0,0.8616900847906519,0,0
2022-11-13,11,-139.77186363636346,-3.035561810604241,100.0,2022,11,317,6,0,1,-1.035561810604241,1,0
2022-11-14,11,-624.2001818181819,-3.4886185438489576,124.0,2022,11,318,0,0,1,-1.4886185438489576,0,1
2022-11-15,11,-210.2423181818176,-1.6932024026582029,140.0,2022,11,319,1,0,0,0.3067975973417971,0,0
2022-11-16,11,-200.18395454545498,-3.783141777819053,145.0,2022,11,320,2,0,1,-1.7831417778190528,0,0
2022-11-17,11,-488.42163636363625,-2.669667638571211,162.0,2022,11,321,3,0,1,-0.669667638571211,0,0
2022-11-18,11,-165.48443181818172,-7.275246266903779,186.0,2022,11,322,4,0,1,-5.275246266903779,0,0
2022-11-19,11,-123.11788636363616,-8.23310374117707,210.0,2022,11,323,5,0,1,-6.23310374117707,0,0
2022-11-20,11,-159.37397727272716,-8.353248292233758,234.0,2022,11,324,6,0,1,-6.353248292233758,0,0
2022-11-21,11,-229.74354545454514,-6.746751787190759,258.0,2022,11,325,0,0,1,-4.746751787190759,0,0
2022-11-22,11,-435.0419772727268,-8.378434839069458,282.0,2022,11,326,1,0,1,-6.378434839069458,0,0
2022-11-23,11,-377.46047727272776,-6.519356615140888,306.0,2022,11,327,2,0,1,-4.519356615140888,0,0
2022-11-24,11,-582.2163181818186,-7.712306046865388,330.0,2022,11,328,3,0,1,-5.712306046865388,0,0
2022-11-25,11,-304.2358181818186,-6.5213246788417685,354.0,2022,11,329,4,0,1,-4.5213246788417685,0,0
2022-11-26,11,93.66368181818176,-9.154961959994237,378.0,2022,11,330,5,0,1,-7.154961959994237,0,0
2022-11-27,11,-224.79522727272706,-6.850066767091321,402.0,2022,11,331,6,0,1,-4.850066767091321,0,0
2022-11-28,11,-388.47354545454584,-5.195505504751735,426.0,2022,11,332,0,0,1,-3.1955055047517353,0,0
2022-11-29,11,220.3615227272727,-7.100302313901552,450.0,2022,11,333,1,0,1,-5.100302313901552,0,0
2022-11-30,11,-212.00152272727294,-7.437990626079287,474.0,2022,11,334,2,0,1,-5.437990626079287,0,0
2022-12-01,11,-102.99865909090873,-5.729467731532231,498.0,2022,12,335,3,0,1,-3.729467731532231,0,0
2022-12-02,11,-201.43161363636383,-8.185114917941752,522.0,2022,12,336,4,0,1,-6.1851149179417515,0,0
2022-12-03,11,-193.57947727272733,-3.4267100215437654,546.0,2022,12,337,5,0,1,-1.4267100215437654,0,0
2022-12-04,11,-64.29022727272704,-4.677453807019406,570.0,2022,12,338,6,0,1,-2.677453807019406,0,0
2022-12-05,11,-208.56843181818147,-9.780083915224061,594.0,2022,12,339,0,0,1,-7.780083915224061,0,0
2022-12-06,11,103.22845454545413,-7.424730208444771,618.0,2022,12,340,1,0,1,-5.424730208444771,0,0
2022-12-07,11,-113.88454545454525,-10.014383469720956,642.0,2022,12,341,2,0,1,-8.014383469720956,0,0
2022-12-08,11,-331.6280909090909,-8.659441551753282,666.0,2022,12,342,3,0,1,-6.659441551753282,0,0
2022-12-09,11,-363.6196818181814,-3.9366766446813184,690.0,2022,12,343,4,0,1,-1.9366766446813184,0,0
2022-12-10,11,-271.6315681818173,-11.002663270250087,714.0,2022,12,344,5,0,1,-9.002663270250087,0,0
2022-12-11,11,342.5867499999997,-17.672808083070475,738.0,2022,12,345,6,0,1,-15.672808083070475,0,0
2022-12-12,11,-336.01211363636406,-15.938023367366782,762.0,2022,12,346,0,0,1,-13.938023367366782,0,0
2022-12-13,11,-432.5438636363633,-8.78040358454321,786.0,2022,12,347,1,0,1,-6.78040358454321,0,0
2022-12-14,11,-292.9527954545452,-4.117881571373751,810.0,2022,12,348,2,0,1,-2.1178815713737507,0,0
2022-12-15,11,-350.72554545454545,-3.5631090871812927,834.0,2022,12,349,3,0,1,-1.5631090871812927,0,0
2022-12-16,11,-1024.3024772727274,-6.413378861719616,858.0,2022,12,350,4,0,1,-4.413378861719616,0,0
2022-12-17,11,-88.40590909090928,-10.539305114932667,882.0,2022,12,351,5,0,1,-8.539305114932667,0,0
2022-12-18,11,-385.87224999999984,-7.016278948131421,906.0,2022,12,352,6,0,1,-5.016278948131421,0,0
2022-12-19,11,-902.8709090909095,0.9785638191561241,921.0,2022,12,353,0,0,0,2.978563819156124,0,0
2022-12-20,11,-399.72831818181874,-0.6833584122560292,921.0,2022,12,354,1,0,0,1.3166415877439708,0,0
2022-12-21,11,-391.34686363636405,-2.3410698908279755,923.0,2022,12,355,2,1,1,-0.34106989082797545,1,0
2022-12-22,11,-826.5982045454543,-3.4414469807493857,944.0,2022,12,356,3,1,1,-1.4414469807493857,0,1
2022-12-23,11,-543.351704545455,-1.0991479015159458,953.0,2022,12,357,4,1,0,0.9008520984840542,0,0
2022-12-24,11,-340.29954545454547,-1.3408408280302864,959.0,2022,12,358,5,1,0,0.6591591719697136,0,0
2022-12-25,11,-332.524318181818,-1.9903116222868134,959.0,2022,12,359,6,1,0,0.009688377713186647,0,0
2022-12-26,11,-265.2362500000001,-3.5868411720122597,977.0,2022,12,360,0,1,1,-1.5868411720122597,1,0
2022-12-27,11,-429.20747727272743,-7.908680873429639,1001.0,2022,12,361,1,1,1,-5.908680873429639,0,1
2022-12-28,11,-49.664340909090576,-7.993083429633471,1025.0,2022,12,362,2,1,1,-5.993083429633471,0,0
2022-12-29,11,-458.91338636363685,-5.087069447518365,1049.0,2022,12,363,3,1,1,-3.087069447518365,0,0
2022-12-30,11,-517.1863409090911,-1.6549259139004038,1073.0,2022,12,364,4,1,0,0.3450740860995962,0,0
2023-11-01,11,-102.05809090909084,-2.099756735105222,70.0,2023,11,305,2,0,1,-0.0997567351052222,0,1
